AREAコード,団体コード(市区町村コード),都道府県コード,"都道府県名（漢字）","区所属都市",市区町村名（漢字）
C,122297,12,千葉県,,袖ケ浦市
C,122301,12,千葉県,,八街市
C,122319,12,千葉県,,印西市
C,122327,12,千葉県,,白井市
C,122335,12,千葉県,,富里市
C,122343,12,千葉県,,南房総市
C,122351,12,千葉県,,匝瑳市
C,122360,12,千葉県,,香取市
C,122378,12,千葉県,,山武市
C,122386,12,千葉県,,いすみ市
C,122394,12,千葉県,,大網白里市
C,123226,12,千葉県,,酒々井町
C,123293,12,千葉県,,栄町
C,123421,12,千葉県,,神崎町
C,123471,12,千葉県,,多古町
C,123498,12,千葉県,,東庄町
C,124036,12,千葉県,,九十九里町
C,124095,12,千葉県,,芝山町
C,124109,12,千葉県,,横芝光町
C,124214,12,千葉県,,一宮町
C,124222,12,千葉県,,睦沢町
C,124231,12,千葉県,,長生村
C,124249,12,千葉県,,白子町
C,124265,12,千葉県,,長柄町
C,124273,12,千葉県,,長南町
C,124419,12,千葉県,,大多喜町
C,124435,12,千葉県,,御宿町
C,124630,12,千葉県,,鋸南町
C,130001,13,東京都,,
C,131016,13,東京都,23区,千代田区
C,131024,13,東京都,23区,中央区
C,131032,13,東京都,23区,港区
C,131041,13,東京都,23区,新宿区
C,131059,13,東京都,23区,文京区
C,131067,13,東京都,23区,台東区
C,131075,13,東京都,23区,墨田区
C,131083,13,東京都,23区,江東区
C,131091,13,東京都,23区,品川区
C,131105,13,東京都,23区,目黒区
C,131113,13,東京都,23区,大田区
C,131121,13,東京都,23区,世田谷区
C,131130,13,東京都,23区,渋谷区
C,131148,13,東京都,23区,中野区
C,131156,13,東京都,23区,杉並区
C,131164,13,東京都,23区,豊島区
C,131172,13,東京都,23区,北区
C,131181,13,東京都,23区,荒川区
C,131199,13,東京都,23区,板橋区
C,131202,13,東京都,23区,練馬区
C,131211,13,東京都,23区,足立区
C,131229,13,東京都,23区,葛飾区
C,131237,13,東京都,23区,江戸川区
C,132012,13,東京都,,八王子市
C,132021,13,東京都,,立川市
C,132039,13,東京都,,武蔵野市
C,132047,13,東京都,,三鷹市
C,132055,13,東京都,,青梅市
C,132063,13,東京都,,府中市
C,132071,13,東京都,,昭島市
C,132080,13,東京都,,調布市
C,132098,13,東京都,,町田市
C,132101,13,東京都,,小金井市
C,132110,13,東京都,,小平市
C,132128,13,東京都,,日野市
C,132136,13,東京都,,東村山市
C,132144,13,東京都,,国分寺市
C,132152,13,東京都,,国立市
C,132187,13,東京都,,福生市
C,132195,13,東京都,,狛江市
C,132209,13,東京都,,東大和市
C,132217,13,東京都,,清瀬市
C,132225,13,東京都,,東久留米市
C,132233,13,東京都,,武蔵村山市
C,132241,13,東京都,,多摩市
C,132250,13,東京都,,稲城市
C,132276,13,東京都,,羽村市
C,132284,13,東京都,,あきる野市
C,132292,13,東京都,,西東京市
C,133035,13,東京都,,瑞穂町
C,133051,13,東京都,,日の出町
